City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Faanui,PF,79.66,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Bethel,US,79.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
20,Bang Saphan,TH,85.68,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
21,Somerset,US,87.69,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
29,Koumac,NC,75.51,overcast clouds,-20.5667,164.2833,Le Monitel
32,Atuona,PF,77.25,scattered clouds,-9.8,-139.0333,Villa Enata
33,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Tateyama,JP,80.74,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
42,Mahibadhoo,MV,82.65,overcast clouds,3.7833,72.9667,Omadhoo Inn
51,Xuanhua,CN,86.54,few clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
54,Kysyl-Syr,RU,76.03,few clouds,63.8986,122.7617,
56,Keti Bandar,PK,82.72,light rain,24.1447,67.4497,Haji laloo memon house
70,Gigmoto,PH,87.26,overcast clouds,13.7796,124.39,Cj's Travellers Inn
73,Mola Di Bari,IT,84.58,clear sky,41.0609,17.0873,Hotel Gabbiano
75,Hilo,US,75.83,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
76,Tabuk,PH,87.69,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
87,Barra Do Corda,BR,75.06,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
88,Birnin Kebbi,NG,77.5,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
92,Butaritari,KI,81.48,light rain,3.0707,172.7902,Isles Sunset Lodge
97,Sonipat,IN,86.0,scattered clouds,28.9833,77.0167,Cozette Hotel Sonipat
101,San Patricio,US,83.37,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
103,Sao Filipe,CV,76.53,light rain,14.8961,-24.4956,Hotel Xaguate
105,Katherine,AU,84.52,few clouds,-14.4667,132.2667,Pine Tree Motel
110,Denpasar,ID,79.65,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
112,Sinnamary,GF,77.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
115,Daska,PK,84.18,overcast clouds,32.3243,74.3497,Royal Dream Fort
116,Lorengau,PG,85.51,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
118,Akyab,MM,81.43,overcast clouds,20.15,92.9,Hotel Memory
121,Darfo,IT,77.32,few clouds,45.8779,10.1812,Hotel San Martino
124,Nador,MA,77.25,overcast clouds,35.174,-2.9287,Hôtel La Giralda
125,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
