City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,74.08,60,39,2.44,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,73.13,62,4,6.04,clear sky
2,Yenagoa,NG,4.9247,6.2642,72.9,86,94,3.65,overcast clouds
3,Nouadhibou,MR,20.931,-17.0347,69.98,97,100,6.64,moderate rain
4,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,13.8,clear sky
5,Omboue,GA,-1.5746,9.2618,69.51,89,46,4.23,scattered clouds
6,Arkhipo-Osipovka,RU,44.37,38.52,65.57,75,5,2.68,clear sky
7,Port Alfred,ZA,-33.5906,26.891,56.7,75,70,20.85,light rain
8,Faanui,PF,-16.4833,-151.75,79.66,73,0,11.99,clear sky
9,Grindavik,IS,63.8424,-22.4338,48.67,93,75,6.91,broken clouds
10,Dikson,RU,73.5069,80.5464,49.98,73,100,13.76,overcast clouds
11,Hithadhoo,MV,-0.6,73.0833,81.41,71,100,1.81,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,35.26,69,75,14.97,light snow
13,Puerto Ayora,EC,-0.7393,-90.3518,68.63,80,55,7.11,broken clouds
14,Bluff,NZ,-46.6,168.3333,48.79,77,9,1.7,clear sky
15,Hobart,AU,-42.8794,147.3294,60.26,76,75,4.61,broken clouds
16,Bethel,US,41.3712,-73.414,79.11,75,0,0.0,clear sky
17,Arraial Do Cabo,BR,-22.9661,-42.0278,71.01,88,24,21.77,few clouds
18,Kruisfontein,ZA,-34.0033,24.7314,49.89,82,74,12.95,light rain
19,Saint George,US,37.1041,-113.5841,97.39,28,0,12.66,clear sky
20,Bang Saphan,TH,11.2126,99.5117,85.68,66,78,2.1,broken clouds
21,Somerset,US,40.5668,-74.5496,87.69,64,0,1.01,clear sky
22,Tuatapere,NZ,-46.1333,167.6833,49.41,74,10,3.15,clear sky
23,Barrow,US,71.2906,-156.7887,37.42,87,100,11.5,haze
24,San Cristobal,VE,7.7669,-72.225,71.78,87,6,1.72,clear sky
25,Avarua,CK,-21.2078,-159.775,71.65,56,75,6.91,broken clouds
26,Dubovyy Umet,RU,52.9763,50.2857,66.09,79,7,6.82,clear sky
27,Leningradskiy,RU,69.3833,178.4167,34.86,93,100,2.98,overcast clouds
28,Codrington,AU,-38.2667,141.9667,62.31,69,6,10.54,clear sky
29,Koumac,NC,-20.5667,164.2833,75.51,71,90,6.13,overcast clouds
30,Saldanha,ZA,-33.0117,17.9442,51.53,71,0,14.18,clear sky
31,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,4.0,fog
32,Atuona,PF,-9.8,-139.0333,77.25,73,32,16.64,scattered clouds
33,Kapaa,US,22.0752,-159.319,84.18,73,20,14.97,few clouds
34,Busko-Zdroj,PL,50.4708,20.7188,66.78,98,80,7.2,broken clouds
35,Mataura,NZ,-46.1927,168.8643,48.47,68,3,0.47,clear sky
36,Sitka,US,57.0531,-135.33,54.34,94,100,4.12,light rain
37,Nikolskoye,RU,59.7035,30.7861,64.8,97,99,4.0,overcast clouds
38,Qaanaaq,GL,77.484,-69.3632,37.49,99,100,1.36,overcast clouds
39,Pevek,RU,69.7008,170.3133,37.47,80,96,8.28,overcast clouds
40,Castro,BR,-24.7911,-50.0119,57.47,75,51,2.82,broken clouds
41,Tateyama,JP,34.9833,139.8667,80.74,79,100,13.96,overcast clouds
42,Mahibadhoo,MV,3.7833,72.9667,82.65,73,100,12.33,overcast clouds
43,Yar-Sale,RU,66.8333,70.8333,48.49,86,100,19.62,moderate rain
44,Upernavik,GL,72.7868,-56.1549,42.55,97,100,1.23,overcast clouds
45,East London,ZA,-33.0153,27.9116,56.5,67,65,21.99,broken clouds
46,Victoria,HK,22.2855,114.1577,94.24,69,0,3.0,clear sky
47,Chudniv,UA,50.052,28.1175,65.8,51,99,8.01,overcast clouds
48,Cape Town,ZA,-33.9258,18.4232,53.46,64,1,13.91,clear sky
49,New Norfolk,AU,-42.7826,147.0587,59.92,73,67,2.51,broken clouds
50,Busselton,AU,-33.65,115.3333,57.22,50,78,8.25,broken clouds
51,Xuanhua,CN,40.6103,115.0447,86.54,31,16,4.52,few clouds
52,Saskylakh,RU,71.9167,114.0833,64.31,60,10,4.74,clear sky
53,Bereda,ES,43.2686,-7.5406,60.42,100,27,0.98,scattered clouds
54,Kysyl-Syr,RU,63.8986,122.7617,76.03,52,11,6.55,few clouds
55,Longyearbyen,SJ,78.2186,15.6401,46.24,93,100,8.05,fog
56,Keti Bandar,PK,24.1447,67.4497,82.72,85,100,16.44,light rain
57,San Quintin,MX,30.4833,-115.95,67.28,81,12,7.45,few clouds
58,Kodiak,US,57.79,-152.4072,50.02,97,100,20.56,moderate rain
59,Lasa,IT,46.6166,10.7002,65.28,89,19,3.44,few clouds
60,Nanortalik,GL,60.1432,-45.2371,43.02,94,100,8.75,overcast clouds
61,Te Anau,NZ,-45.4167,167.7167,47.71,74,20,0.67,few clouds
62,Yellowknife,CA,62.456,-114.3525,70.32,49,75,13.8,broken clouds
63,Cheremshan,RU,54.6667,51.5,67.48,74,100,2.13,overcast clouds
64,Mosquera,CO,4.7059,-74.2302,55.49,94,75,2.3,broken clouds
65,Muriwai Beach,NZ,-36.8167,174.45,56.43,92,100,16.31,moderate rain
66,Ararangua,BR,-28.9347,-49.4858,63.34,96,100,3.51,overcast clouds
67,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,82,1,15.37,clear sky
68,Korla,CN,41.7597,86.1469,96.37,12,0,11.61,clear sky
69,Georgiyevka,KZ,43.0369,74.7114,90.3,19,0,2.86,clear sky
70,Gigmoto,PH,13.7796,124.39,87.26,70,95,3.8,overcast clouds
71,Torbay,CA,47.6666,-52.7314,68.88,82,0,11.5,clear sky
72,Tiksi,RU,71.6872,128.8694,48.72,73,50,8.1,scattered clouds
73,Mola Di Bari,IT,41.0609,17.0873,84.58,48,0,4.34,clear sky
